Nome,Tipo,TRESHOLD,NUM_CENTERS,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
RBF,Teste,-0.19999999999999996,40,11,5277,1,1922,0.999479979199168,0.266981525211835,0.001664124254611011,0.998335875745389
RBF,Teste,-0.4,40,9,5279,1,1922,0.999479979199168,0.2669073739758367,0.0013867702121758425,0.9986132297878242
RBF,Teste,-0.6,40,5,5283,0,1923,1.0,0.2668609492089925,0.0006933851060879212,0.999306614893912
RBF,Teste,-0.8,40,5,5283,0,1923,1.0,0.2668609492089925,0.0006933851060879212,0.999306614893912
RBF,Teste,-1.0,40,5,5283,0,1923,1.0,0.2668609492089925,0.0006933851060879212,0.999306614893912
RBF,Teste,0.0,40,26,5262,3,1920,0.9984399375975039,0.2673350041771094,0.004021633615309943,0.9959783663846901
RBF,Teste,0.19999999999999996,40,106,5182,19,1904,0.9901196047841914,0.26869884278859724,0.01733462765219803,0.9826653723478019
RBF,Teste,0.3999999999999999,40,5268,20,1910,13,0.006760270410816433,0.3939393939393939,0.9954236582998197,0.00457634170018028
RBF,Teste,0.6000000000000001,40,5276,12,1916,7,0.003640145605824233,0.3684210526315789,0.9973651365968659,0.0026348634031341006
RBF,Teste,0.8,40,5283,5,1918,5,0.0026001040041601664,0.5,0.9986132297878242,0.0013867702121758425
RBF,Teste,1.0,40,5286,2,1920,3,0.0015600624024961,0.6,0.999306614893912,0.0006933851060879212
RBF,Treino,-0.19999999999999996,40,60,47532,0,17307,1.0,0.26692268542081155,0.000924513474783895,0.999075486525216
RBF,Treino,-0.4,40,5,47587,0,17307,1.0,0.26669645884057075,7.704278956532458e-05,0.9999229572104347
RBF,Treino,-0.6,40,0,47592,0,17307,1.0,0.2666759118014145,0.0,1.0
RBF,Treino,-0.8,40,0,47592,0,17307,1.0,0.2666759118014145,0.0,1.0
RBF,Treino,-1.0,40,0,47592,0,17307,1.0,0.2666759118014145,0.0,1.0
RBF,Treino,0.0,40,283,47309,1,17306,0.9999422199110186,0.2678325466223013,0.0043760304473104365,0.9956239695526896
RBF,Treino,0.19999999999999996,40,1198,46394,86,17221,0.995030912347605,0.2707065943566769,0.019784588360375353,0.9802154116396247
RBF,Treino,0.3999999999999999,40,47454,138,17082,225,0.013000520020800831,0.6198347107438017,0.9944066934775574,0.005593306522442564
RBF,Treino,0.6000000000000001,40,47571,21,17215,92,0.005315768186283007,0.8141592920353983,0.9982588329558236,0.0017411670441763356
RBF,Treino,0.8,40,47590,2,17261,46,0.0026578840931415033,0.9583333333333334,0.9992603892201729,0.000739610779827116
RBF,Treino,1.0,40,47591,1,17280,27,0.0015600624024961,0.9642857142857143,0.9995685603784342,0.00043143962156581763
