,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_100_1,Teste,0,526,2,193,1
1,RBF_100_1,Teste,1,531,1,189,0
2,RBF_100_1,Teste,2,523,0,198,0
3,RBF_100_1,Teste,3,524,2,195,0
4,RBF_100_1,Teste,4,523,0,197,1
5,RBF_100_1,Teste,5,533,0,188,0
6,RBF_100_1,Teste,6,533,0,188,0
7,RBF_100_1,Teste,7,549,0,171,1
8,RBF_100_1,Teste,8,521,1,199,0
9,RBF_100_1,Teste,9,519,0,202,0
10,RBF_100_1,Treino,0,4759,1,1721,8
11,RBF_100_1,Treino,1,4756,0,1730,4
12,RBF_100_1,Treino,2,4764,1,1725,0
13,RBF_100_1,Treino,3,4761,1,1722,6
14,RBF_100_1,Treino,4,4765,0,1720,5
15,RBF_100_1,Treino,5,4754,1,1735,0
16,RBF_100_1,Treino,6,4754,1,1731,4
17,RBF_100_1,Treino,7,4738,1,1747,4
18,RBF_100_1,Treino,8,4765,1,1720,4
19,RBF_100_1,Treino,9,4768,1,1718,3
