,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_10_0.5,Teste,0,525,3,193,1
1,RBF_10_0.5,Teste,1,532,0,189,0
2,RBF_10_0.5,Teste,2,523,0,198,0
3,RBF_10_0.5,Teste,3,526,0,192,3
4,RBF_10_0.5,Teste,4,523,0,197,1
5,RBF_10_0.5,Teste,5,533,0,188,0
6,RBF_10_0.5,Teste,6,533,0,188,0
7,RBF_10_0.5,Teste,7,548,1,172,0
8,RBF_10_0.5,Teste,8,521,1,198,1
9,RBF_10_0.5,Teste,9,519,0,202,0
10,RBF_10_0.5,Treino,0,4751,9,1718,11
11,RBF_10_0.5,Treino,1,4753,3,1731,3
12,RBF_10_0.5,Treino,2,4762,3,1720,5
13,RBF_10_0.5,Treino,3,4749,13,1717,11
14,RBF_10_0.5,Treino,4,4763,2,1724,1
15,RBF_10_0.5,Treino,5,4753,2,1735,0
16,RBF_10_0.5,Treino,6,4752,3,1732,3
17,RBF_10_0.5,Treino,7,4735,4,1746,5
18,RBF_10_0.5,Treino,8,4761,5,1719,5
19,RBF_10_0.5,Treino,9,4767,2,1719,2
