,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.31,Teste,0,32152031.79947762
1,GLM_Tweedie_Valor_1.31,Teste,1,40073624.45332338
2,GLM_Tweedie_Valor_1.31,Teste,2,37919412.426290154
3,GLM_Tweedie_Valor_1.31,Teste,3,32714582.26339981
4,GLM_Tweedie_Valor_1.31,Teste,4,54907483.00472207
5,GLM_Tweedie_Valor_1.31,Teste,5,22573098.280431613
6,GLM_Tweedie_Valor_1.31,Teste,6,48052846.00242801
7,GLM_Tweedie_Valor_1.31,Teste,7,26458859.439002767
8,GLM_Tweedie_Valor_1.31,Teste,8,49049228.23800544
9,GLM_Tweedie_Valor_1.31,Teste,9,50105929.627910875
10,GLM_Tweedie_Valor_1.31,Treino,0,38243897.89080169
11,GLM_Tweedie_Valor_1.31,Treino,1,37355833.48610813
12,GLM_Tweedie_Valor_1.31,Treino,2,36730208.325234674
13,GLM_Tweedie_Valor_1.31,Treino,3,38839522.20705313
14,GLM_Tweedie_Valor_1.31,Treino,4,34515282.95027487
15,GLM_Tweedie_Valor_1.31,Treino,5,40969438.65232144
16,GLM_Tweedie_Valor_1.31,Treino,6,37914939.627487764
17,GLM_Tweedie_Valor_1.31,Treino,7,38673544.63365687
18,GLM_Tweedie_Valor_1.31,Treino,8,35834967.05810738
19,GLM_Tweedie_Valor_1.31,Treino,9,36060157.09869733
