,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.65,Teste,0,219366315.23273093
1,GLM_Tweedie_Valor_1.65,Teste,1,709593947.4443821
2,GLM_Tweedie_Valor_1.65,Teste,2,241281150.62579408
3,GLM_Tweedie_Valor_1.65,Teste,3,4829883399.570285
4,GLM_Tweedie_Valor_1.65,Teste,4,206660996.18145612
5,GLM_Tweedie_Valor_1.65,Teste,5,452854918.7626269
6,GLM_Tweedie_Valor_1.65,Teste,6,171434813.89162108
7,GLM_Tweedie_Valor_1.65,Teste,7,74538003.8976942
8,GLM_Tweedie_Valor_1.65,Teste,8,10923213278.61262
9,GLM_Tweedie_Valor_1.65,Teste,9,252651270.99376073
10,GLM_Tweedie_Valor_1.65,Treino,0,126714549.86402951
11,GLM_Tweedie_Valor_1.65,Treino,1,750808262.6131164
12,GLM_Tweedie_Valor_1.65,Treino,2,247086165.90096837
13,GLM_Tweedie_Valor_1.65,Treino,3,4062646798.6344185
14,GLM_Tweedie_Valor_1.65,Treino,4,141462058.82079208
15,GLM_Tweedie_Valor_1.65,Treino,5,706478451.535973
16,GLM_Tweedie_Valor_1.65,Treino,6,154271108.86320227
17,GLM_Tweedie_Valor_1.65,Treino,7,270581223.90529567
18,GLM_Tweedie_Valor_1.65,Treino,8,44460274587.75335
19,GLM_Tweedie_Valor_1.65,Treino,9,347897255.61710006
