,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.08,Teste,0,22713420.899369266
1,GLM_Tweedie_Valor_1.08,Teste,1,28907831.442276053
2,GLM_Tweedie_Valor_1.08,Teste,2,32909740.98691179
3,GLM_Tweedie_Valor_1.08,Teste,3,21379630.452543586
4,GLM_Tweedie_Valor_1.08,Teste,4,45910095.30174622
5,GLM_Tweedie_Valor_1.08,Teste,5,16478048.248820402
6,GLM_Tweedie_Valor_1.08,Teste,6,34349633.29005161
7,GLM_Tweedie_Valor_1.08,Teste,7,23283210.903709196
8,GLM_Tweedie_Valor_1.08,Teste,8,36436945.17463198
9,GLM_Tweedie_Valor_1.08,Teste,9,41168314.16758746
10,GLM_Tweedie_Valor_1.08,Treino,0,29929672.208492726
11,GLM_Tweedie_Valor_1.08,Treino,1,29234814.47354327
12,GLM_Tweedie_Valor_1.08,Treino,2,28423337.174952973
13,GLM_Tweedie_Valor_1.08,Treino,3,30389434.274027362
14,GLM_Tweedie_Valor_1.08,Treino,4,27121544.562772654
15,GLM_Tweedie_Valor_1.08,Treino,5,31007118.81857108
16,GLM_Tweedie_Valor_1.08,Treino,6,29053144.75315328
17,GLM_Tweedie_Valor_1.08,Treino,7,29807260.000719562
18,GLM_Tweedie_Valor_1.08,Treino,8,28486068.504271016
19,GLM_Tweedie_Valor_1.08,Treino,9,28177296.215622373
