,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.12,Teste,0,23476874.220500465
1,GLM_Tweedie_Valor_1.12,Teste,1,29980648.265784126
2,GLM_Tweedie_Valor_1.12,Teste,2,33373005.45296491
3,GLM_Tweedie_Valor_1.12,Teste,3,22466987.562678237
4,GLM_Tweedie_Valor_1.12,Teste,4,46738716.851062834
5,GLM_Tweedie_Valor_1.12,Teste,5,17079822.99677038
6,GLM_Tweedie_Valor_1.12,Teste,6,35803338.209811464
7,GLM_Tweedie_Valor_1.12,Teste,7,23645695.278040797
8,GLM_Tweedie_Valor_1.12,Teste,8,37940586.74928938
9,GLM_Tweedie_Valor_1.12,Teste,9,42163664.37741096
10,GLM_Tweedie_Valor_1.12,Treino,0,30788168.643816575
11,GLM_Tweedie_Valor_1.12,Treino,1,30040367.32977549
12,GLM_Tweedie_Valor_1.12,Treino,2,29232025.273874067
13,GLM_Tweedie_Valor_1.12,Treino,3,31251576.260296367
14,GLM_Tweedie_Valor_1.12,Treino,4,27852919.193245552
15,GLM_Tweedie_Valor_1.12,Treino,5,31974660.483726636
16,GLM_Tweedie_Valor_1.12,Treino,6,29903952.314976785
17,GLM_Tweedie_Valor_1.12,Treino,7,30687204.371479183
18,GLM_Tweedie_Valor_1.12,Treino,8,29195659.180251226
19,GLM_Tweedie_Valor_1.12,Treino,9,28981304.86399396
