,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.16,Teste,0,24475501.391552437
1,GLM_Tweedie_Valor_1.16,Teste,1,31312414.014094826
2,GLM_Tweedie_Valor_1.16,Teste,2,33950157.88542828
3,GLM_Tweedie_Valor_1.16,Teste,3,23817001.55662756
4,GLM_Tweedie_Valor_1.16,Teste,4,47773496.62847309
5,GLM_Tweedie_Valor_1.16,Teste,5,17814944.41545859
6,GLM_Tweedie_Valor_1.16,Teste,6,37543818.66416677
7,GLM_Tweedie_Valor_1.16,Teste,7,24063149.3767871
8,GLM_Tweedie_Valor_1.16,Teste,8,39675533.32859099
9,GLM_Tweedie_Valor_1.16,Teste,9,43326419.83135589
10,GLM_Tweedie_Valor_1.16,Treino,0,31825050.058639087
11,GLM_Tweedie_Valor_1.16,Treino,1,31022364.538275372
12,GLM_Tweedie_Valor_1.16,Treino,2,30227072.41981327
13,GLM_Tweedie_Valor_1.16,Treino,3,32294098.73169279
14,GLM_Tweedie_Valor_1.16,Treino,4,28747073.380928393
15,GLM_Tweedie_Valor_1.16,Treino,5,33165056.65094706
16,GLM_Tweedie_Valor_1.16,Treino,6,30952962.729010697
17,GLM_Tweedie_Valor_1.16,Treino,7,31760612.96074561
18,GLM_Tweedie_Valor_1.16,Treino,8,30067233.400582764
19,GLM_Tweedie_Valor_1.16,Treino,9,29956790.797733203
