,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.22,Teste,0,26602996.61317036
1,GLM_Tweedie_Valor_1.22,Teste,1,33946701.25995613
2,GLM_Tweedie_Valor_1.22,Teste,2,35111962.56754262
3,GLM_Tweedie_Valor_1.22,Teste,3,26495262.00018843
4,GLM_Tweedie_Valor_1.22,Teste,4,49860547.12646305
5,GLM_Tweedie_Valor_1.22,Teste,5,19252805.715211004
6,GLM_Tweedie_Valor_1.22,Teste,6,40846393.66967575
7,GLM_Tweedie_Valor_1.22,Teste,7,24829139.718188304
8,GLM_Tweedie_Valor_1.22,Teste,8,42803075.5378389
9,GLM_Tweedie_Valor_1.22,Teste,9,45481891.90891921
10,GLM_Tweedie_Valor_1.22,Treino,0,33815944.95767489
11,GLM_Tweedie_Valor_1.22,Treino,1,32940326.522169042
12,GLM_Tweedie_Valor_1.22,Treino,2,32187136.692526996
13,GLM_Tweedie_Valor_1.22,Treino,3,34305054.834125936
14,GLM_Tweedie_Valor_1.22,Treino,4,30495366.511834808
15,GLM_Tweedie_Valor_1.22,Treino,5,35511345.18210403
16,GLM_Tweedie_Valor_1.22,Treino,6,33030778.584344763
17,GLM_Tweedie_Valor_1.22,Treino,7,33856883.5933455
18,GLM_Tweedie_Valor_1.22,Treino,8,31788675.49510772
19,GLM_Tweedie_Valor_1.22,Treino,9,31840850.200083286
