,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.35,Teste,0,36122719.17128316
1,GLM_Tweedie_Valor_1.35,Teste,1,44103769.559622906
2,GLM_Tweedie_Valor_1.35,Teste,2,39823888.357052095
3,GLM_Tweedie_Valor_1.35,Teste,3,36756131.57918034
4,GLM_Tweedie_Valor_1.35,Teste,4,58325730.928125344
5,GLM_Tweedie_Valor_1.35,Teste,5,24749300.394837752
6,GLM_Tweedie_Valor_1.35,Teste,6,52527349.038635425
7,GLM_Tweedie_Valor_1.35,Teste,7,27465363.389779292
8,GLM_Tweedie_Valor_1.35,Teste,8,52622563.68778926
9,GLM_Tweedie_Valor_1.35,Teste,9,52977937.21812598
10,GLM_Tweedie_Valor_1.35,Treino,0,41042224.54928917
11,GLM_Tweedie_Valor_1.35,Treino,1,40236352.48930637
12,GLM_Tweedie_Valor_1.35,Treino,2,39697971.22587871
13,GLM_Tweedie_Valor_1.35,Treino,3,41750639.345649414
14,GLM_Tweedie_Valor_1.35,Treino,4,37132616.571277685
15,GLM_Tweedie_Valor_1.35,Treino,5,44557632.99908357
16,GLM_Tweedie_Valor_1.35,Treino,6,41152549.37932201
17,GLM_Tweedie_Valor_1.35,Treino,7,41810650.26535561
18,GLM_Tweedie_Valor_1.35,Treino,8,38526471.22838159
19,GLM_Tweedie_Valor_1.35,Treino,9,38729304.1811626
