,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.39,Teste,0,41564855.64946547
1,GLM_Tweedie_Valor_1.39,Teste,1,49367909.57622049
2,GLM_Tweedie_Valor_1.39,Teste,2,42353599.58374589
3,GLM_Tweedie_Valor_1.39,Teste,3,41949826.73516035
4,GLM_Tweedie_Valor_1.39,Teste,4,62854233.35434567
5,GLM_Tweedie_Valor_1.39,Teste,5,27582825.6217201
6,GLM_Tweedie_Valor_1.39,Teste,6,58124274.33607014
7,GLM_Tweedie_Valor_1.39,Teste,7,28727559.575991414
8,GLM_Tweedie_Valor_1.39,Teste,8,56838140.07024204
9,GLM_Tweedie_Valor_1.39,Teste,9,56596219.09600052
10,GLM_Tweedie_Valor_1.39,Treino,0,44592970.339487106
11,GLM_Tweedie_Valor_1.39,Treino,1,43968759.847200215
12,GLM_Tweedie_Valor_1.39,Treino,2,43539753.04933167
13,GLM_Tweedie_Valor_1.39,Treino,3,45488910.35589394
14,GLM_Tweedie_Valor_1.39,Treino,4,40518449.11249071
15,GLM_Tweedie_Valor_1.39,Treino,5,49235116.096033774
16,GLM_Tweedie_Valor_1.39,Treino,6,45388905.80746296
17,GLM_Tweedie_Valor_1.39,Treino,7,45874020.70717427
18,GLM_Tweedie_Valor_1.39,Treino,8,42062764.94225631
19,GLM_Tweedie_Valor_1.39,Treino,9,42102442.47688457
