,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.41,Teste,0,45022740.551687285
1,GLM_Tweedie_Valor_1.41,Teste,1,52608338.27203477
2,GLM_Tweedie_Valor_1.41,Teste,2,43914633.637729034
3,GLM_Tweedie_Valor_1.41,Teste,3,45095787.224000216
4,GLM_Tweedie_Valor_1.41,Teste,4,65564576.27360106
5,GLM_Tweedie_Valor_1.41,Teste,5,29321826.91531834
6,GLM_Tweedie_Valor_1.41,Teste,6,61447148.070046306
7,GLM_Tweedie_Valor_1.41,Teste,7,29441205.453132562
8,GLM_Tweedie_Valor_1.41,Teste,8,58558701.70583063
9,GLM_Tweedie_Valor_1.41,Teste,9,58763716.373996794
10,GLM_Tweedie_Valor_1.41,Treino,0,46729658.37697836
11,GLM_Tweedie_Valor_1.41,Treino,1,46248789.33305969
12,GLM_Tweedie_Valor_1.41,Treino,2,45872523.196687534
13,GLM_Tweedie_Valor_1.41,Treino,3,47759700.06982887
14,GLM_Tweedie_Valor_1.41,Treino,4,42359075.80316302
15,GLM_Tweedie_Valor_1.41,Treino,5,52107865.88481174
16,GLM_Tweedie_Valor_1.41,Treino,6,47992900.79834968
17,GLM_Tweedie_Valor_1.41,Treino,7,48188432.01214682
18,GLM_Tweedie_Valor_1.41,Treino,8,44167508.27924645
19,GLM_Tweedie_Valor_1.41,Treino,9,44121100.09091528
