,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.26,Teste,0,28622823.809481915
1,GLM_Tweedie_Valor_1.26,Teste,1,36271064.82399152
2,GLM_Tweedie_Valor_1.26,Teste,2,36161410.2480559
3,GLM_Tweedie_Valor_1.26,Teste,3,28860852.21199904
4,GLM_Tweedie_Valor_1.26,Teste,4,51747494.99815072
5,GLM_Tweedie_Valor_1.26,Teste,5,20514558.47962506
6,GLM_Tweedie_Valor_1.26,Teste,6,43647097.25306283
7,GLM_Tweedie_Valor_1.26,Teste,7,25465854.27995057
8,GLM_Tweedie_Valor_1.26,Teste,8,45313935.343554206
9,GLM_Tweedie_Valor_1.26,Teste,9,47284087.050770275
10,GLM_Tweedie_Valor_1.26,Treino,0,35524473.7309927
11,GLM_Tweedie_Valor_1.26,Treino,1,34620812.56553697
12,GLM_Tweedie_Valor_1.26,Treino,2,33913640.712773696
13,GLM_Tweedie_Valor_1.26,Treino,3,36043959.37620955
14,GLM_Tweedie_Valor_1.26,Treino,4,32026474.033375405
15,GLM_Tweedie_Valor_1.26,Treino,5,37581494.47054204
16,GLM_Tweedie_Valor_1.26,Treino,6,34875758.68219629
17,GLM_Tweedie_Valor_1.26,Treino,7,35691648.59323003
18,GLM_Tweedie_Valor_1.26,Treino,8,33315967.35495659
19,GLM_Tweedie_Valor_1.26,Treino,9,33465974.708305474
