,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.62,Teste,0,463839711.42039424
1,GLM_Tweedie_Valor_1.62,Teste,1,3142274795.923561
2,GLM_Tweedie_Valor_1.62,Teste,2,112093227.77628613
3,GLM_Tweedie_Valor_1.62,Teste,3,154354634.61012152
4,GLM_Tweedie_Valor_1.62,Teste,4,159403562.36323494
5,GLM_Tweedie_Valor_1.62,Teste,5,93922722.89049196
6,GLM_Tweedie_Valor_1.62,Teste,6,5927027672.714046
7,GLM_Tweedie_Valor_1.62,Teste,7,318452299.9393552
8,GLM_Tweedie_Valor_1.62,Teste,8,108843708.36058629
9,GLM_Tweedie_Valor_1.62,Teste,9,178674646.87214172
10,GLM_Tweedie_Valor_1.62,Treino,0,232971002.15173674
11,GLM_Tweedie_Valor_1.62,Treino,1,2095547998.5508249
12,GLM_Tweedie_Valor_1.62,Treino,2,147850965.86488202
13,GLM_Tweedie_Valor_1.62,Treino,3,135617139.4336157
14,GLM_Tweedie_Valor_1.62,Treino,4,108840886.62531774
15,GLM_Tweedie_Valor_1.62,Treino,5,157605535.36523563
16,GLM_Tweedie_Valor_1.62,Treino,6,6736801535.8832
17,GLM_Tweedie_Valor_1.62,Treino,7,1488394841.6046073
18,GLM_Tweedie_Valor_1.62,Treino,8,112772241.47723365
19,GLM_Tweedie_Valor_1.62,Treino,9,220338129.45800495
