,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.11,Teste,0,23266634.962871276
1,GLM_Tweedie_Valor_1.11,Teste,1,29690340.233918518
2,GLM_Tweedie_Valor_1.11,Teste,2,33247707.81078777
3,GLM_Tweedie_Valor_1.11,Teste,3,22172918.05808835
4,GLM_Tweedie_Valor_1.11,Teste,4,46514377.63025409
5,GLM_Tweedie_Valor_1.11,Teste,5,16918112.40398116
6,GLM_Tweedie_Valor_1.11,Teste,6,35415336.532960504
7,GLM_Tweedie_Valor_1.11,Teste,7,23550472.898068823
8,GLM_Tweedie_Valor_1.11,Teste,8,37544428.88640681
9,GLM_Tweedie_Valor_1.11,Teste,9,41900544.07989353
10,GLM_Tweedie_Valor_1.11,Treino,0,30558333.14239671
11,GLM_Tweedie_Valor_1.11,Treino,1,29824110.261717048
12,GLM_Tweedie_Valor_1.11,Treino,2,29014119.930608265
13,GLM_Tweedie_Valor_1.11,Treino,3,31020734.61674229
14,GLM_Tweedie_Valor_1.11,Treino,4,27656302.657888554
15,GLM_Tweedie_Valor_1.11,Treino,5,31713974.207799226
16,GLM_Tweedie_Valor_1.11,Treino,6,29674595.89342499
17,GLM_Tweedie_Valor_1.11,Treino,7,30450905.209261376
18,GLM_Tweedie_Valor_1.11,Treino,8,29004672.148631617
19,GLM_Tweedie_Valor_1.11,Treino,9,28765711.9677273
