,Nome,Tipo,Iteracao,MSE
0,GLM_Tweedie_Valor_1.33,Teste,0,33983778.16130481
1,GLM_Tweedie_Valor_1.33,Teste,1,41958353.684908494
2,GLM_Tweedie_Valor_1.33,Teste,2,38805684.89231574
3,GLM_Tweedie_Valor_1.33,Teste,3,34611105.89081822
4,GLM_Tweedie_Valor_1.33,Teste,4,56499016.34496103
5,GLM_Tweedie_Valor_1.33,Teste,5,23591519.66355217
6,GLM_Tweedie_Valor_1.33,Teste,6,50168031.07767221
7,GLM_Tweedie_Valor_1.33,Teste,7,26934551.973358016
8,GLM_Tweedie_Valor_1.33,Teste,8,50763254.86060398
9,GLM_Tweedie_Valor_1.33,Teste,9,51461855.79917563
10,GLM_Tweedie_Valor_1.33,Treino,0,39562244.261107706
11,GLM_Tweedie_Valor_1.33,Treino,1,38705330.160638176
12,GLM_Tweedie_Valor_1.33,Treino,2,38120710.53633407
13,GLM_Tweedie_Valor_1.33,Treino,3,40206848.86235558
14,GLM_Tweedie_Valor_1.33,Treino,4,35741919.40069149
15,GLM_Tweedie_Valor_1.33,Treino,5,42648076.376556374
16,GLM_Tweedie_Valor_1.33,Treino,6,39427694.13657989
17,GLM_Tweedie_Valor_1.33,Treino,7,40143499.5636746
18,GLM_Tweedie_Valor_1.33,Treino,8,37091380.492023945
19,GLM_Tweedie_Valor_1.33,Treino,9,37318278.81160467
