,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
117,RBF_10_0.0,Treino,7,4,4735,0,1751
118,RBF_10_0.0,Treino,8,0,4766,0,1724
119,RBF_10_0.0,Treino,9,0,4769,1,1720
120,RBF_10_0.5,Teste,0,525,3,193,1
121,RBF_10_0.5,Teste,1,532,0,189,0
122,RBF_10_0.5,Teste,2,523,0,198,0
123,RBF_10_0.5,Teste,3,526,0,192,3
124,RBF_10_0.5,Teste,4,523,0,197,1
125,RBF_10_0.5,Teste,5,533,0,188,0
126,RBF_10_0.5,Teste,6,533,0,188,0
127,RBF_10_0.5,Teste,7,548,1,172,0
128,RBF_10_0.5,Teste,8,521,1,198,1
129,RBF_10_0.5,Teste,9,519,0,202,0
130,RBF_10_0.5,Treino,0,4751,9,1718,11
131,RBF_10_0.5,Treino,1,4753,3,1731,3
132,RBF_10_0.5,Treino,2,4762,3,1720,5
133,RBF_10_0.5,Treino,3,4749,13,1717,11
134,RBF_10_0.5,Treino,4,4763,2,1724,1
135,RBF_10_0.5,Treino,5,4753,2,1735,0
136,RBF_10_0.5,Treino,6,4752,3,1732,3
137,RBF_10_0.5,Treino,7,4735,4,1746,5
138,RBF_10_0.5,Treino,8,4761,5,1719,5
139,RBF_10_0.5,Treino,9,4767,2,1719,2
140,RBF_10_1,Teste,0,528,0,194,0
141,RBF_10_1,Teste,1,532,0,189,0
142,RBF_10_1,Teste,2,523,0,198,0
143,RBF_10_1,Teste,3,526,0,195,0
144,RBF_10_1,Teste,4,523,0,198,0
145,RBF_10_1,Teste,5,533,0,188,0
146,RBF_10_1,Teste,6,533,0,188,0
147,RBF_10_1,Teste,7,549,0,172,0
148,RBF_10_1,Teste,8,522,0,199,0
149,RBF_10_1,Teste,9,519,0,202,0
150,RBF_10_1,Treino,0,4760,0,1729,0
151,RBF_10_1,Treino,1,4756,0,1734,0
152,RBF_10_1,Treino,2,4765,0,1725,0
153,RBF_10_1,Treino,3,4762,0,1728,0
