,Nome,Tipo,Iteracao,PoissonDeviance
0,Arvore,Teste,0,0.30901662904589705
1,Arvore,Teste,1,0.36943399930710735
2,Arvore,Teste,2,0.3224250049658617
3,Arvore,Teste,3,0.34497113960945114
4,Arvore,Teste,4,0.36253916059554037
5,Arvore,Teste,5,0.3457623484693686
6,Arvore,Teste,6,0.3266178712811928
7,Arvore,Teste,7,0.34271527153696574
8,Arvore,Teste,8,0.3183605044464157
9,Arvore,Teste,9,0.31188075414599203
10,Arvore,Treino,0,0.0012195297475493462
11,Arvore,Treino,1,0.001222114160922995
12,Arvore,Treino,2,0.0012205745219387412
13,Arvore,Treino,3,0.0012134895409421152
14,Arvore,Treino,4,0.0012258112978094213
15,Arvore,Treino,5,0.00121441297283968
16,Arvore,Treino,6,0.0012162612910035975
17,Arvore,Treino,7,0.0012199589129842483
18,Arvore,Treino,8,0.0012178023487662848
19,Arvore,Treino,9,0.0012165687953690665
20,GLM,Teste,0,1.1687763629843981
21,GLM,Teste,1,1.2193786228405727
22,GLM,Teste,2,1.1169695680095963
23,GLM,Teste,3,1.2202739710016994
24,GLM,Teste,4,1.1490413975022398
25,GLM,Teste,5,1.1872890396233997
26,GLM,Teste,6,1.1833339255856057
27,GLM,Teste,7,1.2452857502699948
28,GLM,Teste,8,1.1628650175095796
29,GLM,Teste,9,1.0953800083271037
30,GLM,Treino,0,1.1591449424574243
31,GLM,Treino,1,1.153760146942264
32,GLM,Treino,2,1.1650618380985653
33,GLM,Treino,3,1.1541588282697401
34,GLM,Treino,4,1.161124950078384
35,GLM,Treino,5,1.1573368679221552
36,GLM,Treino,6,1.1574523396590874
37,GLM,Treino,7,1.1510183520714676
38,GLM,Treino,8,1.1599356020839768
39,GLM,Treino,9,1.1676248664296327
40,RBF,Teste,0,1.6236239360325184
41,RBF,Teste,1,1.637366099528256
42,RBF,Teste,2,1.5884362584040943
43,RBF,Teste,3,1.6836713090120579
44,RBF,Teste,4,1.688588197523677
45,RBF,Teste,5,1.6600928952566916
46,RBF,Teste,6,1.657189997714747
47,RBF,Teste,7,1.785094429822242
48,RBF,Teste,8,1.6736258781937954
49,RBF,Teste,9,1.5863036389003224
50,RBF,Treino,0,1.6284024853857935
51,RBF,Treino,1,1.6329816840225837
52,RBF,Treino,2,1.6328536457633585
53,RBF,Treino,3,1.61338601481919
54,RBF,Treino,4,1.6317148209461367
55,RBF,Treino,5,1.618729256980811
56,RBF,Treino,6,1.6270922247019106
57,RBF,Treino,7,1.6069345632432723
58,RBF,Treino,8,1.6137950292670062
59,RBF,Treino,9,1.6345355490254034
