,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.4,Teste,0,513,15,180,14
1,RBF_40_0.4,Teste,1,510,22,182,7
2,RBF_40_0.4,Teste,2,510,13,186,12
3,RBF_40_0.4,Teste,3,505,21,184,11
4,RBF_40_0.4,Teste,4,504,19,189,9
5,RBF_40_0.4,Teste,5,516,17,177,11
6,RBF_40_0.4,Teste,6,525,8,178,10
7,RBF_40_0.4,Teste,7,539,10,161,11
8,RBF_40_0.4,Teste,8,509,13,194,5
9,RBF_40_0.4,Teste,9,513,6,197,5
10,RBF_40_0.4,Treino,0,4607,153,1620,109
11,RBF_40_0.4,Treino,1,4592,164,1597,137
12,RBF_40_0.4,Treino,2,4624,141,1631,94
13,RBF_40_0.4,Treino,3,4617,145,1615,113
14,RBF_40_0.4,Treino,4,4616,149,1619,106
15,RBF_40_0.4,Treino,5,4663,92,1659,76
16,RBF_40_0.4,Treino,6,4661,94,1661,74
17,RBF_40_0.4,Treino,7,4639,100,1682,69
18,RBF_40_0.4,Treino,8,4644,122,1633,91
19,RBF_40_0.4,Treino,9,4694,75,1650,71
