,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_100_0.3,Teste,0,465,63,165,29
1,RBF_100_0.3,Teste,1,485,47,158,31
2,RBF_100_0.3,Teste,2,473,50,161,37
3,RBF_100_0.3,Teste,3,468,58,170,25
4,RBF_100_0.3,Teste,4,474,49,169,29
5,RBF_100_0.3,Teste,5,463,70,150,38
6,RBF_100_0.3,Teste,6,477,56,151,37
7,RBF_100_0.3,Teste,7,493,56,143,29
8,RBF_100_0.3,Teste,8,472,50,173,26
9,RBF_100_0.3,Teste,9,473,46,170,32
10,RBF_100_0.3,Treino,0,4327,433,1415,314
11,RBF_100_0.3,Treino,1,4293,463,1418,316
12,RBF_100_0.3,Treino,2,4264,501,1407,318
13,RBF_100_0.3,Treino,3,4343,419,1443,285
14,RBF_100_0.3,Treino,4,4275,490,1421,304
15,RBF_100_0.3,Treino,5,4244,511,1410,325
16,RBF_100_0.3,Treino,6,4219,536,1393,342
17,RBF_100_0.3,Treino,7,4190,549,1395,356
18,RBF_100_0.3,Treino,8,4226,540,1355,369
19,RBF_100_0.3,Treino,9,4344,425,1435,286
