,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_80_0.3,Teste,0,472,56,162,32
1,RBF_80_0.3,Teste,1,482,50,153,36
2,RBF_80_0.3,Teste,2,478,45,161,37
3,RBF_80_0.3,Teste,3,454,72,165,30
4,RBF_80_0.3,Teste,4,478,45,162,36
5,RBF_80_0.3,Teste,5,472,61,156,32
6,RBF_80_0.3,Teste,6,475,58,150,38
7,RBF_80_0.3,Teste,7,483,66,143,29
8,RBF_80_0.3,Teste,8,474,48,179,20
9,RBF_80_0.3,Teste,9,459,60,159,43
10,RBF_80_0.3,Treino,0,4251,509,1390,339
11,RBF_80_0.3,Treino,1,4286,470,1429,305
12,RBF_80_0.3,Treino,2,4305,460,1417,308
13,RBF_80_0.3,Treino,3,4266,496,1396,332
14,RBF_80_0.3,Treino,4,4284,481,1407,318
15,RBF_80_0.3,Treino,5,4260,495,1405,330
16,RBF_80_0.3,Treino,6,4184,571,1377,358
17,RBF_80_0.3,Treino,7,4164,575,1362,389
18,RBF_80_0.3,Treino,8,4298,468,1408,316
19,RBF_80_0.3,Treino,9,4210,559,1359,362
