,Nome,Tipo,Iteracao,MSE
0,Arvore,Teste,0,36496940.87396122
1,Arvore,Teste,1,40285492.52149792
2,Arvore,Teste,2,71457684.6962552
3,Arvore,Teste,3,48559282.51040222
4,Arvore,Teste,4,58649893.10402219
5,Arvore,Teste,5,41550852.140083216
6,Arvore,Teste,6,45551138.64355063
7,Arvore,Teste,7,55341115.43134535
8,Arvore,Teste,8,66923977.8668516
9,Arvore,Teste,9,74316190.18446602
10,Arvore,Treino,0,0.0
11,Arvore,Treino,1,0.0
12,Arvore,Treino,2,0.0
13,Arvore,Treino,3,0.0
14,Arvore,Treino,4,0.0
15,Arvore,Treino,5,0.0
16,Arvore,Treino,6,0.0
17,Arvore,Treino,7,0.0
18,Arvore,Treino,8,0.0
19,Arvore,Treino,9,0.0
