Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,3806,234,10342,40
0.2,Teste,3719,636,9940,127
0.3,Teste,352,9911,665,3494
0.4,Teste,103,10414,162,3743
0.5,Teste,42,10523,53,3804
0.6,Teste,26,10548,28,3820
0.7,Teste,18,10556,20,3828
0.8,Teste,12,10560,16,3834
0.9,Teste,10,10563,13,3836
1.0,Teste,8,10567,9,3838
0.1,Treino,34495,3034,92150,119
0.2,Treino,33750,7550,87634,864
0.3,Treino,4137,89520,5664,30477
0.4,Treino,1505,93882,1302,33109
0.5,Treino,770,94822,362,33844
0.6,Treino,472,95073,111,34142
0.7,Treino,338,95128,56,34276
0.8,Treino,250,95153,31,34364
0.9,Treino,173,95165,19,34441
1.0,Treino,97,95177,7,34517
