Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,5714,342,15522,55
0.2,Teste,5611,848,15016,158
0.3,Teste,410,15021,843,5359
0.4,Teste,127,15644,220,5642
0.5,Teste,51,15780,84,5718
0.6,Teste,33,15818,46,5736
0.7,Teste,23,15830,34,5746
0.8,Teste,17,15839,25,5752
0.9,Teste,12,15843,21,5757
1.0,Teste,10,15848,16,5759
0.1,Treino,51786,4438,138338,135
0.2,Treino,50877,10587,132189,1044
0.3,Treino,5335,135559,7217,46586
0.4,Treino,2069,141118,1658,49852
0.5,Treino,1138,142287,489,50783
0.6,Treino,748,142616,160,51173
0.7,Treino,545,142700,76,51376
0.8,Treino,408,142736,40,51513
0.9,Treino,280,142754,22,51641
1.0,Treino,172,142769,7,51749
