Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,1889,176,5112,34
0.2,Teste,1815,536,4752,108
0.3,Teste,299,4729,559,1624
0.4,Teste,82,5168,120,1841
0.5,Teste,30,5258,30,1893
0.6,Teste,16,5279,9,1907
0.7,Teste,12,5282,6,1911
0.8,Teste,6,5283,5,1917
0.9,Teste,4,5283,5,1919
1.0,Teste,3,5285,3,1920
0.1,Treino,17190,2057,45535,117
0.2,Treino,16502,5811,41781,805
0.3,Treino,3255,42892,4700,14052
0.4,Treino,1028,46582,1010,16279
0.5,Treino,424,47342,250,16883
0.6,Treino,210,47516,76,17097
0.7,Treino,133,47549,43,17174
0.8,Treino,89,47563,29,17218
0.9,Treino,51,47573,19,17256
1.0,Treino,29,47585,7,17278
