Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,3793,207,10369,53
0.2,Teste,3721,452,10124,125
0.3,Teste,260,10021,555,3586
0.4,Teste,93,10356,220,3753
0.5,Teste,48,10470,106,3798
0.6,Teste,36,10516,60,3810
0.7,Teste,30,10530,46,3816
0.8,Teste,23,10544,32,3823
0.9,Teste,15,10554,22,3831
1.0,Teste,12,10559,17,3834
0.1,Treino,34609,11780,83404,5
0.2,Treino,34341,16788,78396,273
0.3,Treino,8123,88429,6755,26491
0.4,Treino,5727,92718,2466,28887
0.5,Treino,4734,94350,834,29880
0.6,Treino,4126,94952,232,30488
0.7,Treino,3672,95139,45,30942
0.8,Treino,3250,95173,11,31364
0.9,Treino,2803,95180,4,31811
1.0,Treino,1557,95183,1,33057
