Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,1900,144,5144,23
0.2,Teste,1821,562,4726,102
0.3,Teste,367,4649,639,1556
0.4,Teste,89,5152,136,1834
0.5,Teste,14,5265,23,1909
0.6,Teste,6,5286,2,1917
0.7,Teste,3,5286,2,1920
0.8,Teste,3,5286,2,1920
0.9,Teste,3,5287,1,1920
1.0,Teste,3,5287,1,1920
0.1,Treino,17165,1368,46224,142
0.2,Treino,16389,5377,42215,918
0.3,Treino,3619,41800,5792,13688
0.4,Treino,930,46377,1215,16377
0.5,Treino,189,47453,139,17118
0.6,Treino,94,47575,17,17213
0.7,Treino,76,47585,7,17231
0.8,Treino,55,47587,5,17252
0.9,Treino,35,47591,1,17272
1.0,Treino,29,47592,0,17278
