Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,0,190,22,506,4
0.1,Teste,1,182,16,516,7
0.1,Teste,2,195,18,505,3
0.1,Teste,3,192,19,507,3
0.1,Teste,4,197,18,505,1
0.1,Teste,5,178,21,512,10
0.1,Teste,6,179,17,516,9
0.1,Teste,7,166,12,537,6
0.1,Teste,8,195,25,497,4
0.1,Teste,9,198,21,498,4
0.1,Teste,10,194,2,526,0
0.1,Teste,11,189,0,532,0
0.1,Teste,12,198,4,519,0
0.1,Teste,13,195,2,524,0
0.1,Teste,14,197,1,522,1
0.1,Teste,15,188,1,532,0
0.1,Teste,16,187,1,532,1
0.1,Teste,17,172,2,547,0
0.1,Teste,18,199,1,521,0
0.1,Teste,19,202,4,515,0
0.1,Teste,20,192,9,519,2
0.1,Teste,21,186,7,525,3
0.1,Teste,22,197,5,518,1
0.1,Teste,23,193,7,519,2
0.1,Teste,24,196,6,517,2
0.1,Teste,25,187,6,527,1
0.1,Teste,26,186,4,529,2
0.1,Teste,27,170,7,542,2
0.1,Teste,28,195,7,515,4
0.1,Teste,29,202,6,513,0
0.2,Teste,0,183,46,482,11
0.2,Teste,1,169,36,496,20
0.2,Teste,2,190,41,482,8
0.2,Teste,3,185,40,486,10
0.2,Teste,4,193,30,493,5
0.2,Teste,5,174,42,491,14
0.2,Teste,6,174,38,495,14
0.2,Teste,7,158,35,514,14
0.2,Teste,8,189,50,472,10
0.2,Teste,9,191,43,476,11
0.2,Teste,10,194,5,523,0
0.2,Teste,11,187,3,529,2
0.2,Teste,12,198,5,518,0
0.2,Teste,13,195,5,521,0
0.2,Teste,14,196,6,517,2
0.2,Teste,15,188,3,530,0
0.2,Teste,16,186,5,528,2
0.2,Teste,17,171,6,543,1
0.2,Teste,18,199,3,519,0
0.2,Teste,19,201,10,509,1
0.2,Teste,20,191,19,509,3
0.2,Teste,21,185,17,515,4
0.2,Teste,22,193,13,510,5
0.2,Teste,23,193,14,512,2
0.2,Teste,24,193,13,510,5
0.2,Teste,25,187,15,518,1
0.2,Teste,26,184,14,519,4
0.2,Teste,27,169,13,536,3
0.2,Teste,28,192,11,511,7
0.2,Teste,29,201,16,503,1
0.3,Teste,0,29,487,41,165
0.3,Teste,1,23,476,56,166
0.3,Teste,2,27,476,47,171
0.3,Teste,3,19,470,56,176
0.3,Teste,4,24,478,45,174
0.3,Teste,5,20,480,53,168
0.3,Teste,6,20,478,55,168
0.3,Teste,7,17,485,64,155
0.3,Teste,8,25,459,63,174
0.3,Teste,9,31,471,48,171
0.3,Teste,10,3,526,2,191
0.3,Teste,11,1,530,2,188
0.3,Teste,12,3,520,3,195
0.3,Teste,13,1,525,1,194
0.3,Teste,14,2,519,4,196
0.3,Teste,15,2,529,4,186
0.3,Teste,16,6,532,1,182
0.3,Teste,17,2,546,3,170
0.3,Teste,18,2,521,1,197
0.3,Teste,19,3,513,6,199
0.3,Teste,20,5,512,16,189
0.3,Teste,21,9,522,10,180
0.3,Teste,22,3,514,9,195
0.3,Teste,23,3,513,13,192
0.3,Teste,24,9,510,13,189
0.3,Teste,25,7,522,11,181
0.3,Teste,26,2,523,10,186
0.3,Teste,27,7,540,9,165
0.3,Teste,28,6,510,12,193
0.3,Teste,29,3,505,14,199
0.4,Teste,0,13,512,16,181
0.4,Teste,1,7,509,23,182
0.4,Teste,2,11,504,19,187
0.4,Teste,3,6,501,25,189
0.4,Teste,4,7,501,22,191
0.4,Teste,5,10,510,23,178
0.4,Teste,6,3,511,22,185
