Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,3817,158,10418,29
0.2,Teste,3749,588,9988,97
0.3,Teste,497,9684,892,3349
0.4,Teste,56,10465,111,3790
0.5,Teste,6,10568,8,3840
0.6,Teste,0,10575,1,3846
0.7,Teste,0,10575,1,3846
0.8,Teste,0,10576,0,3846
0.9,Teste,0,10576,0,3846
1.0,Teste,0,10576,0,3846
0.1,Treino,34422,1502,93682,192
0.2,Treino,33795,5664,89520,819
0.3,Treino,4679,87257,7927,29935
0.4,Treino,530,94261,923,34084
0.5,Treino,46,95131,53,34568
0.6,Treino,0,95183,1,34614
0.7,Treino,0,95184,0,34614
0.8,Treino,0,95184,0,34614
0.9,Treino,0,95184,0,34614
1.0,Treino,0,95184,0,34614
