Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,3812,190,10386,34
0.2,Teste,3724,681,9895,122
0.3,Teste,411,9856,720,3435
0.4,Teste,99,10418,158,3747
0.5,Teste,19,10538,38,3827
0.6,Teste,11,10562,14,3835
0.7,Teste,7,10569,7,3839
0.8,Teste,6,10569,7,3840
0.9,Teste,5,10572,4,3841
1.0,Teste,4,10572,4,3842
0.1,Treino,34453,1970,93214,161
0.2,Treino,33612,6690,88494,1002
0.3,Treino,4142,88751,6433,30472
0.4,Treino,1150,93811,1373,33464
0.5,Treino,322,94988,196,34292
0.6,Treino,184,95154,30,34430
0.7,Treino,137,95172,12,34477
0.8,Treino,102,95176,8,34512
0.9,Treino,77,95182,2,34537
1.0,Treino,56,95183,1,34558
