Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,1896,116,5172,27
0.2,Teste,1835,468,4820,88
0.3,Teste,483,4431,857,1440
0.4,Teste,56,5183,105,1867
0.5,Teste,6,5283,5,1917
0.6,Teste,0,5288,0,1923
0.7,Teste,0,5288,0,1923
0.8,Teste,0,5288,0,1923
0.9,Teste,0,5288,0,1923
1.0,Teste,0,5288,0,1923
0.1,Treino,17124,1080,46512,183
0.2,Treino,16527,4541,43051,780
0.3,Treino,4512,39960,7632,12795
0.4,Treino,524,46697,895,16783
0.5,Treino,46,47546,46,17261
0.6,Treino,0,47592,0,17307
0.7,Treino,0,47592,0,17307
0.8,Treino,0,47592,0,17307
0.9,Treino,0,47592,0,17307
1.0,Treino,0,47592,0,17307
