Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,1883,193,5095,40
0.2,Teste,1810,477,4811,113
0.3,Teste,283,4703,585,1640
0.4,Teste,109,5076,212,1814
0.5,Teste,60,5188,100,1863
0.6,Teste,31,5229,59,1892
0.7,Teste,19,5256,32,1904
0.8,Teste,11,5264,24,1912
0.9,Teste,9,5268,20,1914
1.0,Teste,9,5273,15,1914
0.1,Treino,17265,4314,43278,42
0.2,Treino,16790,8173,39419,517
0.3,Treino,4714,41724,5868,12593
0.4,Treino,2467,45663,1929,14840
0.5,Treino,1613,46868,724,15694
0.6,Treino,1074,47329,263,16233
0.7,Treino,773,47524,68,16534
0.8,Treino,585,47567,25,16722
0.9,Treino,417,47582,10,16890
1.0,Treino,248,47589,3,17059
