Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,5726,270,15594,43
0.2,Teste,5620,908,14956,149
0.3,Teste,448,15071,793,5321
0.4,Teste,102,15694,170,5667
0.5,Teste,20,15821,43,5749
0.6,Teste,12,15848,16,5757
0.7,Teste,8,15855,9,5761
0.8,Teste,6,15855,9,5763
0.9,Teste,5,15858,6,5764
1.0,Teste,4,15859,5,5765
0.1,Treino,51735,2988,139788,186
0.2,Treino,50689,9188,133588,1232
0.3,Treino,4546,135621,7155,47375
0.4,Treino,1237,141319,1457,50684
0.5,Treino,372,142552,224,51549
0.6,Treino,206,142738,38,51715
0.7,Treino,148,142762,14,51773
0.8,Treino,110,142767,9,51811
0.9,Treino,83,142774,2,51838
1.0,Treino,61,142775,1,51860
