Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.7,Treino,8,0,4766,0,1724
0.7,Treino,9,0,4769,0,1721
0.8,Treino,0,0,4760,0,1729
0.8,Treino,1,0,4756,0,1734
0.8,Treino,2,0,4765,0,1725
0.8,Treino,3,0,4762,0,1728
0.8,Treino,4,0,4765,0,1725
0.8,Treino,5,0,4755,0,1735
0.8,Treino,6,0,4755,0,1735
0.8,Treino,7,0,4739,0,1751
0.8,Treino,8,0,4766,0,1724
0.8,Treino,9,0,4769,0,1721
0.9,Treino,0,0,4760,0,1729
0.9,Treino,1,0,4756,0,1734
0.9,Treino,2,0,4765,0,1725
0.9,Treino,3,0,4762,0,1728
0.9,Treino,4,0,4765,0,1725
0.9,Treino,5,0,4755,0,1735
0.9,Treino,6,0,4755,0,1735
0.9,Treino,7,0,4739,0,1751
0.9,Treino,8,0,4766,0,1724
0.9,Treino,9,0,4769,0,1721
1.0,Treino,0,0,4760,0,1729
1.0,Treino,1,0,4756,0,1734
1.0,Treino,2,0,4765,0,1725
1.0,Treino,3,0,4762,0,1728
1.0,Treino,4,0,4765,0,1725
1.0,Treino,5,0,4755,0,1735
1.0,Treino,6,0,4755,0,1735
1.0,Treino,7,0,4739,0,1751
1.0,Treino,8,0,4766,0,1724
1.0,Treino,9,0,4769,0,1721
