Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,0,190,20,508,4
0.1,Teste,1,187,14,518,2
0.1,Teste,2,195,16,507,3
0.1,Teste,3,189,20,506,6
0.1,Teste,4,194,15,508,4
0.1,Teste,5,186,12,521,2
0.1,Teste,6,187,21,512,1
0.1,Teste,7,168,24,525,4
0.1,Teste,8,195,21,501,4
0.1,Teste,9,198,13,506,4
0.1,Teste,10,193,9,519,1
0.1,Teste,11,188,1,531,1
0.1,Teste,12,197,2,521,1
0.1,Teste,13,195,9,517,0
0.1,Teste,14,197,4,519,1
0.1,Teste,15,188,5,528,0
0.1,Teste,16,188,10,523,0
0.1,Teste,17,170,7,542,2
0.1,Teste,18,199,3,519,0
0.1,Teste,19,202,8,511,0
0.1,Teste,20,192,12,516,2
0.1,Teste,21,185,12,520,4
0.1,Teste,22,195,10,513,3
0.1,Teste,23,195,9,517,0
0.1,Teste,24,198,11,512,0
0.1,Teste,25,184,16,517,4
0.1,Teste,26,187,10,523,1
0.1,Teste,27,171,12,537,1
0.1,Teste,28,199,7,515,0
0.1,Teste,29,202,9,510,0
0.2,Teste,0,182,46,482,12
0.2,Teste,1,178,62,470,11
0.2,Teste,2,185,60,463,13
0.2,Teste,3,179,51,475,16
0.2,Teste,4,192,46,477,6
0.2,Teste,5,180,50,483,8
0.2,Teste,6,180,53,480,8
0.2,Teste,7,161,61,488,11
0.2,Teste,8,185,62,460,14
0.2,Teste,9,193,45,474,9
0.2,Teste,10,193,14,514,1
0.2,Teste,11,185,7,525,4
0.2,Teste,12,195,6,517,3
0.2,Teste,13,195,11,515,0
0.2,Teste,14,195,10,513,3
0.2,Teste,15,187,8,525,1
0.2,Teste,16,186,13,520,2
0.2,Teste,17,170,13,536,2
0.2,Teste,18,199,4,518,0
0.2,Teste,19,199,14,505,3
0.2,Teste,20,189,23,505,5
0.2,Teste,21,182,19,513,7
0.2,Teste,22,194,26,497,4
0.2,Teste,23,194,19,507,1
0.2,Teste,24,198,24,499,0
0.2,Teste,25,183,29,504,5
0.2,Teste,26,186,19,514,2
0.2,Teste,27,167,20,529,5
0.2,Teste,28,198,15,507,1
0.2,Teste,29,201,18,501,1
0.3,Teste,0,34,474,54,160
0.3,Teste,1,32,473,59,157
0.3,Teste,2,30,471,52,168
0.3,Teste,3,19,473,53,176
0.3,Teste,4,35,487,36,163
0.3,Teste,5,27,470,63,161
0.3,Teste,6,31,478,55,157
0.3,Teste,7,22,496,53,150
0.3,Teste,8,27,454,68,172
0.3,Teste,9,42,453,66,160
0.3,Teste,10,7,520,8,187
0.3,Teste,11,6,528,4,183
0.3,Teste,12,7,514,9,191
0.3,Teste,13,3,517,9,192
0.3,Teste,14,3,508,15,195
0.3,Teste,15,7,523,10,181
0.3,Teste,16,4,522,11,184
0.3,Teste,17,6,528,21,166
0.3,Teste,18,5,515,7,194
0.3,Teste,19,5,507,12,197
0.3,Teste,20,5,502,26,189
0.3,Teste,21,8,505,27,181
0.3,Teste,22,8,508,15,190
0.3,Teste,23,9,514,12,186
0.3,Teste,24,8,505,18,190
0.3,Teste,25,5,512,21,183
0.3,Teste,26,2,515,18,186
0.3,Teste,27,5,531,18,167
0.3,Teste,28,4,510,12,195
0.3,Teste,29,4,508,11,198
0.4,Teste,0,7,518,10,187
0.4,Teste,1,3,518,14,186
0.4,Teste,2,8,513,10,190
0.4,Teste,3,8,518,8,187
0.4,Teste,4,13,516,7,185
0.4,Teste,5,11,515,18,177
0.4,Teste,6,8,522,11,180
0.4,Teste,7,8,539,10,164
0.4,Teste,8,7,504,18,192
0.4,Teste,9,9,505,14,193
0.4,Teste,10,4,524,4,190
0.4,Teste,11,3,531,1,186
0.4,Teste,12,3,518,5,195
0.4,Teste,13,0,523,3,195
0.4,Teste,14,0,517,6,198
0.4,Teste,15,2,530,3,186
0.4,Teste,16,3,530,3,185
0.4,Teste,17,1,539,10,171
0.4,Teste,18,2,519,3,197
0.4,Teste,19,3,515,4,199
0.4,Teste,20,1,517,11,193
0.4,Teste,21,3,525,7,186
0.4,Teste,22,6,518,5,192
0.4,Teste,23,4,523,3,191
0.4,Teste,24,2,514,9,196
0.4,Teste,25,1,527,6,187
0.4,Teste,26,1,528,5,187
0.4,Teste,27,2,542,7,170
0.4,Teste,28,2,520,2,197
0.4,Teste,29,2,516,3,200
0.5,Teste,0,3,524,4,191
0.5,Teste,1,1,526,6,188
0.5,Teste,2,1,522,1,197
0.5,Teste,3,2,526,0,193
0.5,Teste,4,5,522,1,193
0.5,Teste,5,4,528,5,184
0.5,Teste,6,5,530,3,183
0.5,Teste,7,3,549,0,169
0.5,Teste,8,2,516,6,197
0.5,Teste,9,4,515,4,198
0.5,Teste,10,2,527,1,192
0.5,Teste,11,2,531,1,187
0.5,Teste,12,2,519,4,196
0.5,Teste,13,0,525,1,195
0.5,Teste,14,0,521,2,198
0.5,Teste,15,1,531,2,187
0.5,Teste,16,2,531,2,186
0.5,Teste,17,1,543,6,171
0.5,Teste,18,1,519,3,198
0.5,Teste,19,1,518,1,201
0.5,Teste,20,0,521,7,194
0.5,Teste,21,2,530,2,187
0.5,Teste,22,1,520,3,197
0.5,Teste,23,1,524,2,194
0.5,Teste,24,0,517,6,198
0.5,Teste,25,1,530,3,187
0.5,Teste,26,1,532,1,187
0.5,Teste,27,1,545,4,171
0.5,Teste,28,0,520,2,199
0.5,Teste,29,2,518,1,200
0.6,Teste,0,1,526,2,193
0.6,Teste,1,0,530,2,189
0.6,Teste,2,1,523,0,197
0.6,Teste,3,2,526,0,193
0.6,Teste,4,2,522,1,196
0.6,Teste,5,3,530,3,185
0.6,Teste,6,2,533,0,186
0.6,Teste,7,2,549,0,170
0.6,Teste,8,1,521,1,198
0.6,Teste,9,2,519,0,200
0.6,Teste,10,1,527,1,193
0.6,Teste,11,2,531,1,187
0.6,Teste,12,2,520,3,196
0.6,Teste,13,0,526,0,195
0.6,Teste,14,0,521,2,198
0.6,Teste,15,1,532,1,187
0.6,Teste,16,1,532,1,187
0.6,Teste,17,1,543,6,171
0.6,Teste,18,1,519,3,198
0.6,Teste,19,1,518,1,201
0.6,Teste,20,0,524,4,194
0.6,Teste,21,1,530,2,188
0.6,Teste,22,0,522,1,198
0.6,Teste,23,1,524,2,194
0.6,Teste,24,0,519,4,198
0.6,Teste,25,1,531,2,187
0.6,Teste,26,1,533,0,187
0.6,Teste,27,1,547,2,171
0.6,Teste,28,0,521,1,199
0.6,Teste,29,2,519,0,200
0.7,Teste,0,0,528,0,194
0.7,Teste,1,0,531,1,189
0.7,Teste,2,1,523,0,197
0.7,Teste,3,2,526,0,193
0.7,Teste,4,2,522,1,196
0.7,Teste,5,2,530,3,186
0.7,Teste,6,2,533,0,186
0.7,Teste,7,2,549,0,170
0.7,Teste,8,0,521,1,199
0.7,Teste,9,1,519,0,201
0.7,Teste,10,1,527,1,193
0.7,Teste,11,1,532,0,188
0.7,Teste,12,2,520,3,196
0.7,Teste,13,0,526,0,195
0.7,Teste,14,0,522,1,198
0.7,Teste,15,0,532,1,188
0.7,Teste,16,0,533,0,188
0.7,Teste,17,1,545,4,171
0.7,Teste,18,1,519,3,198
0.7,Teste,19,0,518,1,202
0.7,Teste,20,0,525,3,194
0.7,Teste,21,1,530,2,188
0.7,Teste,22,0,522,1,198
0.7,Teste,23,1,524,2,194
0.7,Teste,24,0,520,3,198
0.7,Teste,25,1,531,2,187
0.7,Teste,26,1,533,0,187
0.7,Teste,27,0,549,0,172
0.7,Teste,28,0,521,1,199
0.7,Teste,29,1,519,0,201
0.8,Teste,0,0,528,0,194
0.8,Teste,1,0,531,1,189
0.8,Teste,2,1,523,0,197
0.8,Teste,3,1,526,0,194
0.8,Teste,4,1,522,1,197
0.8,Teste,5,1,531,2,187
0.8,Teste,6,1,533,0,187
0.8,Teste,7,1,549,0,171
0.8,Teste,8,0,521,1,199
0.8,Teste,9,0,519,0,202
0.8,Teste,10,1,527,1,193
0.8,Teste,11,1,532,0,188
0.8,Teste,12,2,521,2,196
0.8,Teste,13,0,526,0,195
0.8,Teste,14,0,522,1,198
0.8,Teste,15,0,532,1,188
0.8,Teste,16,0,533,0,188
0.8,Teste,17,1,545,4,171
0.8,Teste,18,1,520,2,198
0.8,Teste,19,0,519,0,202
0.8,Teste,20,0,527,1,194
0.8,Teste,21,1,530,2,188
0.8,Teste,22,0,522,1,198
0.8,Teste,23,1,526,0,194
0.8,Teste,24,0,520,3,198
0.8,Teste,25,1,532,1,187
0.8,Teste,26,1,533,0,187
0.8,Teste,27,0,549,0,172
0.8,Teste,28,0,521,1,199
0.8,Teste,29,1,519,0,201
0.9,Teste,0,0,528,0,194
0.9,Teste,1,0,531,1,189
0.9,Teste,2,0,523,0,198
0.9,Teste,3,1,526,0,194
0.9,Teste,4,1,522,1,197
0.9,Teste,5,1,531,2,187
0.9,Teste,6,0,533,0,188
0.9,Teste,7,1,549,0,171
0.9,Teste,8,0,521,1,199
0.9,Teste,9,0,519,0,202
0.9,Teste,10,1,527,1,193
0.9,Teste,11,1,532,0,188
0.9,Teste,12,2,522,1,196
0.9,Teste,13,0,526,0,195
0.9,Teste,14,0,522,1,198
0.9,Teste,15,0,532,1,188
0.9,Teste,16,0,533,0,188
0.9,Teste,17,1,547,2,171
0.9,Teste,18,1,520,2,198
0.9,Teste,19,0,519,0,202
0.9,Teste,20,0,527,1,194
0.9,Teste,21,1,530,2,188
0.9,Teste,22,0,522,1,198
0.9,Teste,23,0,526,0,195
0.9,Teste,24,0,520,3,198
0.9,Teste,25,0,533,0,188
0.9,Teste,26,1,533,0,187
0.9,Teste,27,0,549,0,172
0.9,Teste,28,0,521,1,199
0.9,Teste,29,0,519,0,202
1.0,Teste,0,0,528,0,194
1.0,Teste,1,0,532,0,189
1.0,Teste,2,0,523,0,198
1.0,Teste,3,1,526,0,194
1.0,Teste,4,1,523,0,197
1.0,Teste,5,0,531,2,188
1.0,Teste,6,0,533,0,188
1.0,Teste,7,1,549,0,171
1.0,Teste,8,0,521,1,199
1.0,Teste,9,0,519,0,202
1.0,Teste,10,1,527,1,193
1.0,Teste,11,1,532,0,188
1.0,Teste,12,2,522,1,196
1.0,Teste,13,0,526,0,195
1.0,Teste,14,0,522,1,198
1.0,Teste,15,0,533,0,188
1.0,Teste,16,0,533,0,188
1.0,Teste,17,0,547,2,172
1.0,Teste,18,1,521,1,198
1.0,Teste,19,0,519,0,202
1.0,Teste,20,0,527,1,194
1.0,Teste,21,1,530,2,188
1.0,Teste,22,0,522,1,198
1.0,Teste,23,0,526,0,195
1.0,Teste,24,0,520,3,198
1.0,Teste,25,0,533,0,188
1.0,Teste,26,1,533,0,187
1.0,Teste,27,0,549,0,172
1.0,Teste,28,0,522,0,199
1.0,Teste,29,0,519,0,202
0.1,Treino,0,1717,239,4521,12
0.1,Treino,1,1724,172,4584,10
0.1,Treino,2,1709,217,4548,16
0.1,Treino,3,1719,204,4558,9
0.1,Treino,4,1710,204,4561,15
0.1,Treino,5,1726,179,4576,9
0.1,Treino,6,1722,192,4563,13
0.1,Treino,7,1739,226,4513,12
0.1,Treino,8,1714,212,4554,10
0.1,Treino,9,1710,212,4557,11
0.1,Treino,10,1729,94,4666,0
0.1,Treino,11,1733,105,4651,1
0.1,Treino,12,1724,110,4655,1
0.1,Treino,13,1728,102,4660,0
0.1,Treino,14,1725,99,4666,0
0.1,Treino,15,1735,86,4669,0
0.1,Treino,16,1735,106,4649,0
0.1,Treino,17,1751,89,4650,0
0.1,Treino,18,1724,84,4682,0
0.1,Treino,19,1721,102,4667,0
0.1,Treino,20,1728,153,4607,1
0.1,Treino,21,1734,152,4604,0
0.1,Treino,22,1724,130,4635,1
0.1,Treino,23,1727,114,4648,1
0.1,Treino,24,1721,139,4626,4
0.1,Treino,25,1732,147,4608,3
0.1,Treino,26,1733,152,4603,2
0.1,Treino,27,1751,130,4609,0
0.1,Treino,28,1721,145,4621,3
0.1,Treino,29,1720,142,4627,1
0.2,Treino,0,1644,694,4066,85
0.2,Treino,1,1648,557,4199,86
0.2,Treino,2,1634,640,4125,91
0.2,Treino,3,1659,532,4230,69
0.2,Treino,4,1650,569,4196,75
0.2,Treino,5,1655,525,4230,80
0.2,Treino,6,1651,548,4207,84
0.2,Treino,7,1680,558,4181,71
0.2,Treino,8,1658,560,4206,66
0.2,Treino,9,1623,628,4141,98
0.2,Treino,10,1728,148,4612,1
0.2,Treino,11,1727,180,4576,7
0.2,Treino,12,1714,196,4569,11
0.2,Treino,13,1722,183,4579,6
0.2,Treino,14,1719,206,4559,6
0.2,Treino,15,1730,159,4596,5
0.2,Treino,16,1729,194,4561,6
0.2,Treino,17,1743,152,4587,8
0.2,Treino,18,1720,140,4626,4
0.2,Treino,19,1716,181,4588,5
0.2,Treino,20,1711,311,4449,18
0.2,Treino,21,1715,322,4434,19
0.2,Treino,22,1706,295,4470,19
0.2,Treino,23,1717,262,4500,11
0.2,Treino,24,1698,320,4445,27
0.2,Treino,25,1716,308,4447,19
0.2,Treino,26,1720,323,4432,15
0.2,Treino,27,1739,285,4454,12
0.2,Treino,28,1704,297,4469,20
0.2,Treino,29,1701,314,4455,20
0.3,Treino,0,337,4284,476,1392
0.3,Treino,1,329,4276,480,1405
0.3,Treino,2,320,4261,504,1405
0.3,Treino,3,288,4381,381,1440
0.3,Treino,4,292,4364,401,1433
0.3,Treino,5,325,4281,474,1410
0.3,Treino,6,336,4255,500,1399
0.3,Treino,7,313,4301,438,1438
0.3,Treino,8,349,4262,504,1375
0.3,Treino,9,366,4227,542,1355
0.3,Treino,10,74,4668,92,1655
0.3,Treino,11,92,4655,101,1642
0.3,Treino,12,87,4660,105,1638
0.3,Treino,13,89,4660,102,1639
0.3,Treino,14,86,4677,88,1639
0.3,Treino,15,82,4660,95,1653
0.3,Treino,16,84,4655,100,1651
0.3,Treino,17,109,4629,110,1642
0.3,Treino,18,85,4680,86,1639
0.3,Treino,19,94,4684,85,1627
0.3,Treino,20,142,4596,164,1587
0.3,Treino,21,130,4587,169,1604
0.3,Treino,22,101,4626,139,1624
0.3,Treino,23,125,4610,152,1603
0.3,Treino,24,128,4577,188,1597
0.3,Treino,25,125,4595,160,1610
0.3,Treino,26,113,4627,128,1622
0.3,Treino,27,131,4550,189,1620
