Nome,Tipo,Iteracao,MSE
100,Teste,0,20617659.279498313
100,Teste,1,26092510.461765267
100,Teste,2,33657351.354962274
100,Teste,3,17412885.05903828
100,Teste,4,40949944.233821295
100,Teste,5,12796228.192926917
100,Teste,6,26961319.759140678
100,Teste,7,21496414.599466268
100,Teste,8,27423405.484429
100,Teste,9,35542887.51455886
100,Treino,0,26141937.17285775
100,Treino,1,25655616.42352422
100,Treino,2,24865449.559079647
100,Treino,3,26737378.748153992
100,Treino,4,23884233.025139563
100,Treino,5,27175544.98210286
100,Treino,6,25630381.72264463
100,Treino,7,26139904.937400896
100,Treino,8,25584057.35743579
100,Treino,9,24507360.337840997
