Nome,Tipo,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,5702,342,15522,67
0.2,Teste,5596,766,15098,173
0.3,Teste,400,15073,791,5369
0.4,Teste,147,15579,285,5622
0.5,Teste,88,15712,152,5681
0.6,Teste,50,15771,93,5719
0.7,Teste,36,15803,61,5733
0.8,Teste,27,15813,51,5742
0.9,Teste,24,15818,46,5745
1.0,Teste,23,15828,36,5746
0.1,Treino,51868,11872,130904,53
0.2,Treino,51264,19197,123579,657
0.3,Treino,9836,133044,9732,42085
0.4,Treino,6104,139457,3319,45817
0.5,Treino,4702,141522,1254,47219
0.6,Treino,3798,142375,401,48123
0.7,Treino,3235,142672,104,48686
0.8,Treino,2760,142733,43,49161
0.9,Treino,2300,142755,21,49621
1.0,Treino,1355,142767,9,50566
