Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
0.1,Teste,0,190,19,509,4
0.1,Teste,1,187,23,509,2
0.1,Teste,2,195,20,503,3
0.1,Teste,3,190,18,508,5
0.1,Teste,4,195,14,509,3
0.1,Teste,5,182,21,512,6
0.1,Teste,6,186,19,514,2
0.1,Teste,7,167,21,528,5
0.1,Teste,8,198,20,502,1
0.1,Teste,9,193,18,501,9
0.2,Teste,0,184,47,481,10
0.2,Teste,1,176,51,481,13
0.2,Teste,2,189,52,471,9
0.2,Teste,3,181,44,482,14
0.2,Teste,4,192,44,479,6
0.2,Teste,5,175,46,487,13
0.2,Teste,6,177,39,494,11
0.2,Teste,7,160,56,493,12
0.2,Teste,8,192,47,475,7
0.2,Teste,9,184,51,468,18
0.3,Teste,0,30,470,58,164
0.3,Teste,1,25,474,58,164
0.3,Teste,2,25,463,60,173
0.3,Teste,3,25,466,60,170
0.3,Teste,4,29,471,52,169
0.3,Teste,5,20,464,69,168
0.3,Teste,6,37,471,62,151
0.3,Teste,7,28,496,53,144
0.3,Teste,8,29,468,54,170
0.3,Teste,9,35,460,59,167
0.4,Teste,0,15,510,18,179
0.4,Teste,1,8,517,15,181
0.4,Teste,2,7,498,25,191
0.4,Teste,3,11,502,24,184
0.4,Teste,4,11,502,21,187
0.4,Teste,5,11,506,27,177
0.4,Teste,6,17,515,18,171
0.4,Teste,7,8,529,20,164
0.4,Teste,8,13,502,20,186
0.4,Teste,9,8,495,24,194
0.5,Teste,0,10,522,6,184
0.5,Teste,1,4,526,6,185
0.5,Teste,2,3,513,10,195
0.5,Teste,3,6,510,16,189
0.5,Teste,4,5,511,12,193
0.5,Teste,5,5,519,14,183
0.5,Teste,6,10,527,6,178
0.5,Teste,7,6,538,11,166
0.5,Teste,8,7,514,8,192
0.5,Teste,9,4,508,11,198
0.6,Teste,0,3,525,3,191
0.6,Teste,1,4,531,1,185
0.6,Teste,2,3,515,8,195
0.6,Teste,3,3,517,9,192
0.6,Teste,4,3,518,5,195
0.6,Teste,5,4,525,8,184
0.6,Teste,6,4,530,3,184
0.6,Teste,7,2,540,9,170
0.6,Teste,8,2,519,3,197
0.6,Teste,9,3,509,10,199
