Nome,Tipo,Iteracao,MSE
8,Teste,0,28147521.98218017
8,Teste,1,31747744.667262856
8,Teste,2,56629046.91003019
8,Teste,3,31747755.276710924
8,Teste,4,47850920.63973462
8,Teste,5,27603673.436440013
8,Teste,6,43722771.182205945
8,Teste,7,35783436.985248335
8,Teste,8,51108163.94277845
8,Teste,9,46229429.7492258
8,Treino,0,9902058.821145242
8,Treino,1,11995686.43998525
8,Treino,2,11971690.842121614
8,Treino,3,9345057.186365029
8,Treino,4,13244663.730332794
8,Treino,5,10299029.989995122
8,Treino,6,10820101.025765818
8,Treino,7,12745190.24986504
8,Treino,8,8750127.844110008
8,Treino,9,12673224.286625588
