Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
,Teste,0,72,405,123,122
,Teste,1,85,420,112,104
,Teste,2,83,418,105,115
,Teste,3,75,424,102,120
,Teste,4,85,390,133,113
,Teste,5,92,410,123,96
,Teste,6,74,426,107,114
,Teste,7,88,436,113,84
,Teste,8,77,410,112,122
,Teste,9,85,407,112,117
,Treino,0,1729,4760,0,0
,Treino,1,1734,4756,0,0
,Treino,2,1725,4765,0,0
,Treino,3,1728,4762,0,0
,Treino,4,1725,4765,0,0
,Treino,5,1735,4755,0,0
,Treino,6,1735,4755,0,0
,Treino,7,1751,4739,0,0
,Treino,8,1724,4766,0,0
,Treino,9,1721,4769,0,0
