Nome,Tipo,Iteracao,True_Positive,True_Negative,False_Positive,False_Negative
5,Teste,0,49,472,56,145
5,Teste,1,76,473,59,113
5,Teste,2,84,453,70,114
5,Teste,3,39,503,23,156
5,Teste,4,64,481,42,134
5,Teste,5,69,452,81,119
5,Teste,6,28,517,16,160
5,Teste,7,74,463,86,98
5,Teste,8,72,462,60,127
5,Teste,9,33,495,24,169
5,Teste,10,49,472,56,145
5,Teste,11,77,473,59,112
5,Teste,12,84,453,70,114
5,Teste,13,39,503,23,156
5,Teste,14,64,479,44,134
5,Teste,15,69,452,81,119
5,Teste,16,28,517,16,160
5,Teste,17,74,463,86,98
5,Teste,18,72,462,60,127
5,Teste,19,33,495,24,169
5,Treino,0,623,4317,443,1106
5,Treino,1,672,4282,474,1062
5,Treino,2,734,4193,572,991
5,Treino,3,405,4554,208,1323
5,Treino,4,505,4493,272,1220
5,Treino,5,786,4187,568,949
5,Treino,6,311,4634,121,1424
5,Treino,7,819,4106,633,932
5,Treino,8,648,4276,490,1076
5,Treino,9,385,4589,180,1336
5,Treino,10,623,4317,443,1106
5,Treino,11,672,4282,474,1062
5,Treino,12,734,4193,572,991
5,Treino,13,405,4554,208,1323
5,Treino,14,506,4493,272,1219
5,Treino,15,786,4187,568,949
5,Treino,16,311,4634,121,1424
5,Treino,17,819,4106,633,932
5,Treino,18,648,4276,490,1076
5,Treino,19,385,4589,180,1336
