,Nome,Tipo,Iteracao,MSE
0,GLM,Teste,0,133418515.8263337
1,GLM,Teste,1,94229912.95028849
2,GLM,Teste,2,69300311.52196117
3,GLM,Teste,3,104726890.64518371
4,GLM,Teste,4,127748709.72108085
5,GLM,Teste,5,60805715.60654494
6,GLM,Teste,6,93018241.93853241
7,GLM,Teste,7,40028920.80816331
8,GLM,Teste,8,76301979.56476292
9,GLM,Teste,9,72962626.8131868
10,GLM,Treino,0,75676719.4042751
11,GLM,Treino,1,75412674.49621397
12,GLM,Treino,2,82860530.55199936
13,GLM,Treino,3,82669699.28561662
14,GLM,Treino,4,80962979.64348587
15,GLM,Treino,5,96214983.5463578
16,GLM,Treino,6,89753239.85384835
17,GLM,Treino,7,87962156.42767508
18,GLM,Treino,8,85268992.98937507
19,GLM,Treino,9,57220332.69954325
