,Nome,Tipo,Iteracao,MSE
0,GLM,Teste,0,335499617.8822326
1,GLM,Teste,1,264542203.09244287
2,GLM,Teste,2,1455182199.616566
3,GLM,Teste,3,961699982.5452126
4,GLM,Teste,4,114046184.11080445
5,GLM,Teste,5,68592179734.81536
6,GLM,Teste,6,316843162.2736117
7,GLM,Teste,7,13555210955.469692
8,GLM,Teste,8,47384989.61249089
9,GLM,Teste,9,4480957329.795781
10,GLM,Treino,0,246037192.67955536
11,GLM,Treino,1,309946596.32330555
12,GLM,Treino,2,266952477.6302664
13,GLM,Treino,3,301716003.50758
14,GLM,Treino,4,282671943.66812754
15,GLM,Treino,5,476437249.3011499
16,GLM,Treino,6,214614737.21498638
17,GLM,Treino,7,207123909.17415273
18,GLM,Treino,8,242354997.5897641
19,GLM,Treino,9,463101403.05073476
