,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.38,Teste,0,528,0,194,0
1,RBF_40_0.38,Teste,1,529,3,188,1
2,RBF_40_0.38,Teste,2,521,2,192,6
3,RBF_40_0.38,Teste,3,523,3,194,1
4,RBF_40_0.38,Teste,4,520,3,197,1
5,RBF_40_0.38,Teste,5,528,5,187,1
6,RBF_40_0.38,Teste,6,532,1,186,2
7,RBF_40_0.38,Teste,7,545,4,170,2
8,RBF_40_0.38,Teste,8,521,1,198,1
9,RBF_40_0.38,Teste,9,517,2,202,0
10,RBF_40_0.38,Treino,0,4752,8,1708,21
11,RBF_40_0.38,Treino,1,4740,16,1709,25
12,RBF_40_0.38,Treino,2,4746,19,1701,24
13,RBF_40_0.38,Treino,3,4739,23,1696,32
14,RBF_40_0.38,Treino,4,4747,18,1698,27
15,RBF_40_0.38,Treino,5,4735,20,1704,31
16,RBF_40_0.38,Treino,6,4734,21,1704,31
17,RBF_40_0.38,Treino,7,4719,20,1727,24
18,RBF_40_0.38,Treino,8,4749,17,1703,21
19,RBF_40_0.38,Treino,9,4755,14,1697,24
