,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.21000000000000002,Teste,0,15,513,5,189
1,RBF_40_0.21000000000000002,Teste,1,13,519,2,187
2,RBF_40_0.21000000000000002,Teste,2,10,513,1,197
3,RBF_40_0.21000000000000002,Teste,3,9,517,2,193
4,RBF_40_0.21000000000000002,Teste,4,12,511,1,197
5,RBF_40_0.21000000000000002,Teste,5,10,523,2,186
6,RBF_40_0.21000000000000002,Teste,6,15,518,3,185
7,RBF_40_0.21000000000000002,Teste,7,10,539,1,171
8,RBF_40_0.21000000000000002,Teste,8,12,510,2,197
9,RBF_40_0.21000000000000002,Teste,9,13,506,4,198
10,RBF_40_0.21000000000000002,Treino,0,147,4613,10,1719
11,RBF_40_0.21000000000000002,Treino,1,119,4637,7,1727
12,RBF_40_0.21000000000000002,Treino,2,131,4634,10,1715
13,RBF_40_0.21000000000000002,Treino,3,147,4615,10,1718
14,RBF_40_0.21000000000000002,Treino,4,126,4639,10,1715
15,RBF_40_0.21000000000000002,Treino,5,132,4623,14,1721
16,RBF_40_0.21000000000000002,Treino,6,146,4609,10,1725
17,RBF_40_0.21000000000000002,Treino,7,93,4646,9,1742
18,RBF_40_0.21000000000000002,Treino,8,143,4623,11,1713
19,RBF_40_0.21000000000000002,Treino,9,152,4617,12,1709
