,Nome,NUM_CENTERS,TRESHOLD,Tipo,True_Negative,False_Positive,False_Negative,True_Positive
125,RBF,40,0.27,Teste,209,324,50,138
126,RBF,40,0.27,Teste,179,354,32,156
127,RBF,40,0.27,Teste,176,373,42,130
128,RBF,40,0.27,Teste,359,163,126,73
129,RBF,40,0.27,Teste,208,311,64,138
130,RBF,40,0.27,Treino,3475,1285,984,745
131,RBF,40,0.27,Treino,3434,1322,982,752
132,RBF,40,0.27,Treino,3413,1352,974,751
133,RBF,40,0.27,Treino,3651,1111,1080,648
134,RBF,40,0.27,Treino,3620,1145,1077,648
135,RBF,40,0.27,Treino,1845,2910,429,1306
136,RBF,40,0.27,Treino,1707,3048,360,1375
137,RBF,40,0.27,Treino,1740,2999,411,1340
138,RBF,40,0.27,Treino,3421,1345,1004,720
139,RBF,40,0.27,Treino,2101,2668,479,1242
140,RBF,40,0.28,Teste,407,121,133,61
141,RBF,40,0.28,Teste,416,116,126,63
142,RBF,40,0.28,Teste,434,89,142,56
143,RBF,40,0.28,Teste,417,109,130,65
144,RBF,40,0.28,Teste,422,101,144,54
145,RBF,40,0.28,Teste,435,98,134,54
146,RBF,40,0.28,Teste,390,143,93,95
147,RBF,40,0.28,Teste,437,112,117,55
148,RBF,40,0.28,Teste,415,107,151,48
149,RBF,40,0.28,Teste,411,108,136,66
150,RBF,40,0.28,Treino,3777,983,1143,586
151,RBF,40,0.28,Treino,3726,1030,1125,609
152,RBF,40,0.28,Treino,3912,853,1217,508
153,RBF,40,0.28,Treino,3853,909,1178,550
154,RBF,40,0.28,Treino,3853,912,1193,532
155,RBF,40,0.28,Treino,3871,884,1218,517
156,RBF,40,0.28,Treino,3458,1297,980,755
157,RBF,40,0.28,Treino,3770,969,1183,568
158,RBF,40,0.28,Treino,3901,865,1197,527
159,RBF,40,0.28,Treino,3868,901,1158,563
160,RBF,40,0.29,Teste,434,94,144,50
161,RBF,40,0.29,Teste,432,100,135,54
162,RBF,40,0.29,Teste,454,69,156,42
163,RBF,40,0.29,Teste,436,90,145,50
164,RBF,40,0.29,Teste,437,86,152,46
165,RBF,40,0.29,Teste,467,66,146,42
166,RBF,40,0.29,Teste,467,66,137,51
167,RBF,40,0.29,Teste,475,74,128,44
168,RBF,40,0.29,Teste,439,83,162,37
169,RBF,40,0.29,Teste,437,82,153,49
170,RBF,40,0.29,Treino,3992,768,1257,472
171,RBF,40,0.29,Treino,3905,851,1219,515
172,RBF,40,0.29,Treino,4119,646,1314,411
173,RBF,40,0.29,Treino,4003,759,1253,475
174,RBF,40,0.29,Treino,4014,751,1276,449
175,RBF,40,0.29,Treino,4142,613,1357,378
176,RBF,40,0.29,Treino,4094,661,1331,404
177,RBF,40,0.29,Treino,4089,650,1336,415
178,RBF,40,0.29,Treino,4105,661,1294,430
179,RBF,40,0.29,Treino,4081,688,1303,418
180,RBF,40,0.2,Teste,48,480,11,183
181,RBF,40,0.2,Teste,60,472,12,177
182,RBF,40,0.2,Teste,49,474,9,189
183,RBF,40,0.2,Teste,63,463,15,180
184,RBF,40,0.2,Teste,38,485,3,195
185,RBF,40,0.2,Teste,60,473,13,175
186,RBF,40,0.2,Teste,52,481,9,179
187,RBF,40,0.2,Teste,47,502,9,163
188,RBF,40,0.2,Teste,65,457,11,188
189,RBF,40,0.2,Teste,53,466,14,188
190,RBF,40,0.2,Treino,525,4235,80,1649
191,RBF,40,0.2,Treino,582,4174,87,1647
192,RBF,40,0.2,Treino,532,4233,85,1640
193,RBF,40,0.2,Treino,467,4295,76,1652
194,RBF,40,0.2,Treino,356,4409,66,1659
195,RBF,40,0.2,Treino,496,4259,88,1647
196,RBF,40,0.2,Treino,577,4178,104,1631
197,RBF,40,0.2,Treino,428,4311,60,1691
198,RBF,40,0.2,Treino,484,4282,90,1634
199,RBF,40,0.2,Treino,603,4166,97,1624
200,RBF,40,0.3,Teste,444,84,149,45
201,RBF,40,0.3,Teste,451,81,141,48
202,RBF,40,0.3,Teste,470,53,161,37
203,RBF,40,0.3,Teste,449,77,153,42
204,RBF,40,0.3,Teste,451,72,159,39
205,RBF,40,0.3,Teste,478,55,150,38
206,RBF,40,0.3,Teste,490,43,155,33
207,RBF,40,0.3,Teste,487,62,137,35
208,RBF,40,0.3,Teste,456,66,168,31
209,RBF,40,0.3,Teste,461,58,164,38
210,RBF,40,0.3,Treino,4108,652,1311,418
211,RBF,40,0.3,Treino,4050,706,1293,441
212,RBF,40,0.3,Treino,4242,523,1369,356
213,RBF,40,0.3,Treino,4106,656,1304,424
214,RBF,40,0.3,Treino,4116,649,1344,381
215,RBF,40,0.3,Treino,4267,488,1428,307
216,RBF,40,0.3,Treino,4286,469,1436,299
217,RBF,40,0.3,Treino,4237,502,1422,329
218,RBF,40,0.3,Treino,4209,557,1363,361
219,RBF,40,0.3,Treino,4206,563,1363,358
