,Nome,Tipo,Iteracao,True_Negative,False_Positive,False_Negative,True_Positive
0,RBF_40_0.29,Teste,0,434,94,144,50
1,RBF_40_0.29,Teste,1,432,100,135,54
2,RBF_40_0.29,Teste,2,454,69,156,42
3,RBF_40_0.29,Teste,3,436,90,145,50
4,RBF_40_0.29,Teste,4,437,86,152,46
5,RBF_40_0.29,Teste,5,467,66,146,42
6,RBF_40_0.29,Teste,6,467,66,137,51
7,RBF_40_0.29,Teste,7,475,74,128,44
8,RBF_40_0.29,Teste,8,439,83,162,37
9,RBF_40_0.29,Teste,9,437,82,153,49
10,RBF_40_0.29,Treino,0,3992,768,1257,472
11,RBF_40_0.29,Treino,1,3905,851,1219,515
12,RBF_40_0.29,Treino,2,4119,646,1314,411
13,RBF_40_0.29,Treino,3,4003,759,1253,475
14,RBF_40_0.29,Treino,4,4014,751,1276,449
15,RBF_40_0.29,Treino,5,4142,613,1357,378
16,RBF_40_0.29,Treino,6,4094,661,1331,404
17,RBF_40_0.29,Treino,7,4089,650,1336,415
18,RBF_40_0.29,Treino,8,4105,661,1294,430
19,RBF_40_0.29,Treino,9,4081,688,1303,418
