Nome,Tipo,True_Negative,False_Positive,False_Negative,True_Positive,Recall,Precisao,%PrevistaNegativo,%PrevistaPositiva
Arvore,Teste,4144,1144,1069,854,0.44409776391055644,0.42742742742742745,0.7229233116072666,0.2770766883927333
Arvore,Treino,47592,0,0,17307,1.0,1.0,0.7333240881985855,0.2666759118014145
GLM,Teste,4876,412,1147,776,0.4035361414456578,0.6531986531986532,0.8352516987935099,0.1647483012064901
GLM,Treino,43978,3614,10144,7163,0.41387877737331713,0.6646562123039808,0.8339419713708994,0.1660580286291006
RBF,Teste,265,5023,45,1878,0.9765990639625585,0.2721344732647442,0.04298987657745112,0.9570101234225489
RBF,Treino,2888,44704,330,16977,0.9809325706361588,0.2752387282955854,0.0495847393642429,0.9504152606357571
